nome,latitudine,longitudine,descIt,descEn,indirizzo
via Cermis - Cavalese,46.285676,11.46529,parcheggio scoperto gratuito,free parking lot,Via Cermis 38033 Cavalese
funivia Cermis - Cavalese,46.284556,11.47213,"parcheggio scoperto gratuito, parcheggio scoperto con disco orario 7 posti camper","free parking lot, disc parking lot for camper",Via Cermis 38033 Cavalese
piazza Autostazione - Cavalese,46.287856,11.462801,parcheggio scoperto gratuito,free parking lot,"Piazza Autostazione, 38033 Cavalese"
parco della Pieve - Cavalese,46.288507,11.461356,parcheggio scoperto gratuito,free parking lot,"Via Bresadola, 38033 Cavalese"
piazza Verdi - Cavalese,46.290138,11.460681,parcheggio scoperto con disco orario,disc parking lot,"Piazza Verdi, 38033 Cavalese"
piazza Cesare Battisti - Cavalese,46.291576,11.459459,parcheggio scoperto con disco orario,disc parking lot,"Piazza Cesare Battisti, 38033 Cavalese"
piazza Italia - Cavalese,46.290623,11.462804,garage a pagamento,pay garage,"Via F.lli Bronzetti, 38033 Cavalese"
piazza Rizzoli - Cavalese,46.292106,11.458994,parcheggio scoperto con disco orario,disc parking lot,"Piazza Rizzoli, 38033 Cavalese"
piazza Fiera - Cavalese,46.290273,11.461734,parcheggio scoperto a pagamento,pay parking lot,"Piazza Fiera, 38033 Cavalese"
piazza Ress - Cavalese,46.290629,11.459113,parcheggio scoperto con disco orario,disc parking lot,"Piazza Ress, 38033 Cavalese"
Auditorium Palacongressi - Cavalese,46.289683,11.46488,parcheggio scoperto con disco orario,disc parking lot,"Via F.lli Bronzetti 60, 38033 Cavalese"
piazza Pasquai - Cavalese,46.290443,11.456482,parcheggio scoperto gratuito,free parking lot,"Piazza Pasquai, 38033 Cavalese"
via IX Novembre - Cavalese,46.292638,11.45705,parcheggio scoperto con disco orario,disc parking lot,"Via IX Novembre, 38033 Cavalese"
viale Dolomiti - Cavalese,46.290531,11.465401,parcheggio scoperto gratuito,free parking lot,"Viale Dolomiti, 38033 Cavalese"
via Pizzegoda - Cavalese,46.290843,11.464017,"parcheggio scoperto gratuito, parcheggio scoperto con disco orario","free parking lot, disc parking lot","Via Pizzegoda, 38033 Cavalese"
via Pizzegoda garage - Cavalese,46.291532,11.462526,garage a pagamento,pay garage,"Via Pizzegoda, 38033 Cavalese"
via Rossini - Cavalese,46.289701,11.466345,"parcheggio scoperto gratuito, parcheggio scoperto con disco orario","free parking lot, disc parking lot","Via Rossini, 38033 Cavalese"
ospedale - Cavalese,46.289101,11.454984,parcheggio scoperto gratuito,free parking lot,"Via Dossi 17, 38033 Cavalese"
via Pillocco - Cavalese,46.285935,11.455949,parcheggio scoperto gratuito,free parking lot,"Via Pillocco, 38033 Cavalese"
campo sportivo - Cavalese,46.284489,11.453664,parcheggio scoperto gratuito,free parking lot,"Campo sportivo, 38033 Cavalese"
